GEOID,vics,off,GST.interest,n,hateful_tweets,users,hateful_users,sent_neg,sent_neu,sent_pos,sent_neg_sum,sent_neu_sum,sent_pos_sum,sent_compound,monthly_variation,weekly_variation,ALB,pop2020,tweets_rate,hateful_tweets_prop,hateful_tweets_rate,tweets_per_user,user_rate,hateful_tweets_per_user,hateful_tweets_per_hateful_users,vics_rate,off_rate,vics_off,pc1,pc2,pc3
12009,0,0,0.520249221,22815,181,3654,105,0.082751698,0.813197239,0.104051852,1887.98,18553.095,2373.943,0.070333303,0.610675039,0.7886873,3,594001,0.038409026,0.007933029,0.000304713,6.242134063,0.006151505,0.049521204,1.70754717,0,0,0,-0.050475392,0.441291106,-0.124513319
12023,0,0,0.417445483,1166,6,235,5,0.106151801,0.796337907,0.097498285,123.773,928.53,113.683,-0.019907633,0.814049587,0.950617284,3,70898,0.016446162,0.005141388,8.46E-05,4.940677966,0.003314621,0.025423729,1,0,0,0,0.190361633,0.489129831,-0.073810494
12039,0,0,0.367601246,171,2,80,2,0.08145614,0.798491228,0.120070175,13.929,136.542,20.532,0.1181,0.941176471,0.916666667,3,45787,0.003734685,0.011627907,4.37E-05,2.111111111,0.001747221,0.024691358,0.666666667,0,0,0,0.232812832,0.500729698,0.054012593
12055,0,0,0.507788162,1576,41,215,5,0.077400381,0.777602157,0.144982868,121.983,1225.501,228.493,0.212847398,0.861413043,0.974137931,3,104574,0.015070668,0.025998732,0.000392067,7.296296296,0.00205596,0.189814815,6.833333333,0,0,0,0.245440287,0.490587241,-0.090125018
12065,0,0,0.367601246,24,2,7,2,0.021,0.819166667,0.159875,0.504,19.66,3.837,0.488858333,0.888888889,0.75,3,14278,0.001680908,0.08,0.000140076,3,0.000490265,0.25,0.666666667,0,0,0,0.068628261,0.472937371,0.194089796
12073,0,0,0.367601246,31351,213,4077,148,0.085251475,0.807231189,0.107518325,2672.719,25307.505,3370.807,0.083572763,0.68390701,0.831756757,3,291863,0.107416836,0.006793825,0.000729794,7.687837175,0.013968883,0.052231486,1.429530201,0,0,0,0.033092446,0.463646887,-0.087087025
12095,0,0,0.520249221,121811,844,20601,564,0.077684807,0.813709805,0.108605216,9462.864,99118.805,13229.31,0.104482308,0.638224532,0.795239826,3,1373784,0.088668233,0.00692871,0.000614362,5.912581303,0.014995807,0.040966896,1.49380531,0,0,0,-0.021428075,0.444693932,-0.154063577
12107,0,0,0.417445483,459,5,118,3,0.076566449,0.823267974,0.100154684,35.144,377.88,45.971,0.058153595,0.661016949,0.95,3,73784,0.006220861,0.010869565,6.78E-05,3.857142857,0.001599263,0.042016807,1.25,0,0,0,0.090149029,0.470692944,-0.073615295
12123,0,0,0.367601246,90,0,38,0,0.085766667,0.801188889,0.113055556,7.719,72.107,10.175,0.120177778,0.866666667,0.888888889,3,21709,0.004145746,0,0,2.307692308,0.001750426,0,0,0,0,0,0.164917566,0.489354103,0.042314516
12127,3,2,0.520249221,26641,242,4454,143,0.085388799,0.806051349,0.108559176,2274.843,21474.014,2892.125,0.063098037,0.645828017,0.833477135,3,546107,0.04878348,0.009083402,0.000443137,5.980022447,0.008155911,0.054320988,1.680555556,5.49E-06,3.66E-06,1,0.009105052,0.446970639,-0.162369165
12131,0,0,0.448598131,1559,10,814,10,0.067337396,0.816704298,0.115959589,104.979,1273.242,180.781,0.155524567,0.76953125,0.9375,3,71049,0.021942603,0.006410256,0.000140748,1.912883436,0.011456882,0.012269939,0.909090909,0,0,0,0.146593967,0.478849691,-0.039579341
12133,0,0,0.448598131,78,0,29,0,0.083589744,0.820602564,0.095846154,6.52,64.007,7.476,0.069865385,0.866666667,0.8,3,25094,0.003108313,0,0,2.6,0.001155655,0,0,0,0,0,0.102197448,0.474731955,0.022466859
